customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
HS67749,,M,,684711.89%,71038.0,86.0,1/0/00,Corporate Auto,Four-Door Car,205.444066
VZ51506,AZ,F,,359531.29%,0.0,103.0,1/0/00,Corporate Auto,Sports Car,741.6
UI64281,,F,,2285561.21%,20832.0,65.0,1/0/00,Personal Auto,Two-Door Car,56.371967
AE98193,,M,,785941.46%,0.0,113.0,1/0/00,Personal Auto,SUV,813.6
AZ74055,,M,,411557.74%,52405.0,103.0,1/0/00,Personal Auto,Four-Door Car,494.4
XS76911,AZ,F,,502963.88%,0.0,133.0,1/0/00,Personal Auto,Sports Car,795.864079
AY40674,,F,Bachelors,482141.85%,26583.0,1005.0,1/4/00,Personal Auto,SUV,614.4
NA12740,,M,,500431.05%,25486.0,65.0,1/0/00,Special Auto,Two-Door Car,72.438681
UA84837,AZ,M,,863005.39%,24065.0,111.0,1/0/00,Corporate Auto,Four-Door Car,532.8
DJ51510,AZ,F,,932208.51%,70435.0,116.0,1/0/00,Personal Auto,Four-Door Car,67.881546
VM58985,,M,,1672756.06%,0.0,76.0,1/2/00,Personal Auto,Two-Door Car,402.636829
OH60605,,F,,365253.24%,39679.0,92.0,1/0/00,Personal Auto,Two-Door Car,641.388616
UO98052,,M,,615860.12%,0.0,89.0,1/0/00,Personal Auto,Four-Door Car,342.481173
NC53424,,M,Bachelors,437608.40%,0.0,69.0,1/4/00,Personal Auto,Two-Door Car,331.2
LQ13873,,M,,556945.62%,53565.0,71.0,1/1/00,Personal Auto,Four-Door Car,340.8
LA97014,,M,Bachelors,257651.30%,37574.0,66.0,1/1/00,Personal Auto,Two-Door Car,412.101933
NB79936,,M,Bachelors,834698.32%,48259.0,108.0,1/0/00,Personal Auto,Two-Door Car,73.700573
NT89061,AZ,F,,632392.39%,78532.0,78.0,1/0/00,Personal Auto,Four-Door Car,374.4
AF10970,AZ,F,Bachelors,597314.34%,96163.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4
ZG48513,,M,Bachelors,470667.70%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6
JQ59145,,M,,809341.03%,0.0,114.0,1/1/00,Personal Auto,Sports Car,722.024742
FE84989,,M,,503574.46%,72672.0,63.0,1/0/00,Personal Auto,Four-Door Car,259.361117
JT52858,,F,Bachelors,902786.72%,99002.0,112.0,1/1/00,Personal Auto,Four-Door Car,537.6
MC62068,Cali,M,,728888.48%,79494.0,91.0,1/0/00,Personal Auto,Four-Door Car,396.295614
EU27538,,M,,1804247.94%,35704.0,225.0,1/0/00,Personal Auto,Luxury Car,358.281562
RH42306,AZ,F,Bachelors,499206.30%,0.0,71.0,1/0/00,Corporate Auto,Four-Door Car,653.388564
US23612,,F,,910226.78%,26049.0,118.0,1/0/00,Personal Auto,Two-Door Car,121.032372
WV76014,AZ,M,,254040.77%,70125.0,64.0,1/0/00,Special Auto,Four-Door Car,92.813396
RK96223,Cali,M,,1294189.19%,52369.0,110.0,1/1/00,Personal Auto,SUV,528.0
MF82000,,F,Bachelors,236534.86%,0.0,66.0,1/2/00,Special Auto,Four-Door Car,159.636956
FM46980,AZ,M,,572076.51%,41770.0,72.0,1/0/00,Personal Auto,Four-Door Car,476.156957
SY56792,,M,,703553.41%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,727.2
RF61565,Cali,M,,263697.77%,31911.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
IM94808,,M,Bachelors,539583.20%,70051.0,68.0,1/0/00,Corporate Auto,Four-Door Car,42.078345
VI14730,,M,,838263.01%,19683.0,117.0,1/1/00,Personal Auto,Sports Car,561.6
YR34119,,F,,3116174.52%,30916.0,112.0,1/0/00,Personal Auto,SUV,200.11606
RR77985,,F,Bachelors,288774.23%,0.0,80.0,1/0/00,Personal Auto,Four-Door Car,676.944023
QD28391,WA,M,,742584.53%,84302.0,62.0,1/0/00,Personal Auto,Four-Door Car,76.609295
WV17090,Cali,M,Bachelors,2558572.78%,0.0,116.0,1/0/00,Corporate Auto,SUV,830.623064
TM23514,,M,,1027260.82%,60145.0,132.0,1/0/00,Personal Auto,SUV,580.473259
MQ68407,,F,Bachelors,437636.36%,63774.0,111.0,1/0/00,Personal Auto,Four-Door Car,60.036683
GJ59592,Cali,F,Bachelors,531889.66%,25134.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6
FY56083,,M,Bachelors,471976.22%,37057.0,61.0,1/1/00,Personal Auto,Four-Door Car,47.53101
UA94723,,F,,442803.16%,58577.0,110.0,1/0/00,Personal Auto,SUV,303.872752
FW91032,Cali,M,,587917.61%,85857.0,73.0,1/0/00,Corporate Auto,Four-Door Car,100.620067
DE34457,,F,,941690.85%,70602.0,116.0,1/0/00,Personal Auto,SUV,481.339891
HD32044,,F,,828815.56%,33816.0,106.0,1/2/00,Corporate Auto,Four-Door Car,508.8
HH30454,,M,Bachelors,3265483.83%,0.0,153.0,1/0/00,Personal Auto,SUV,1101.6
AH84063,,F,,471945.01%,89642.0,121.0,1/4/00,Corporate Auto,SUV,86.320022
QA17596,Cali,F,Bachelors,390347.48%,60068.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4
XI41052,Cali,F,Bachelors,545725.97%,50044.0,139.0,1/0/00,Personal Auto,SUV,667.2
DI30528,Cali,F,,272535.64%,36650.0,69.0,1/1/00,Personal Auto,Four-Door Car,56.60333
SC66359,AZ,F,,443397.37%,50653.0,110.0,1/0/00,Corporate Auto,SUV,262.865172
EN61670,AZ,F,,533246.27%,68931.0,66.0,1/0/00,Personal Auto,Four-Door Car,309.577946
DQ10761,,M,Bachelors,231509.50%,0.0,73.0,1/1/00,Corporate Auto,Four-Door Car,350.4
BQ51587,Cali,F,,541195.37%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,365.364581
JE21522,Cali,M,Bachelors,958733.23%,39266.0,80.0,1/0/00,Personal Auto,Four-Door Car,384.0
WS47147,Cali,M,,2210350.72%,0.0,102.0,1/0/00,Personal Auto,SUV,489.6
ZA64638,,F,,976494.53%,0.0,98.0,1/1/00,Personal Auto,Four-Door Car,705.6
EW38459,,F,Bachelors,256715.15%,40864.0,65.0,1/0/00,Corporate Auto,Four-Door Car,9.51528
QW87316,,F,,265062.28%,39035.0,68.0,1/0/00,Personal Auto,Four-Door Car,244.564334
IC43478,Cali,M,Bachelors,1126436.33%,34923.0,98.0,1/0/00,Personal Auto,Two-Door Car,639.105556
TE34064,Cali,M,,216852.35%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,453.6
WU60905,Cali,F,,861066.75%,0.0,111.0,1/0/00,Corporate Auto,SUV,532.8
YM18992,Cali,F,,283464.62%,24506.0,71.0,1/0/00,Personal Auto,Two-Door Car,511.2
PD55753,,M,,893013.97%,0.0,82.0,1/0/00,Personal Auto,Four-Door Car,554.522969
KU56006,AZ,F,,553638.70%,52220.0,70.0,1/1/00,Personal Auto,Four-Door Car,336.0
MJ69973,AZ,M,,284085.43%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,402.449823
TW43626,Cali,M,,808288.10%,53554.0,67.0,1/0/00,Personal Auto,Four-Door Car,327.020539
XX84133,Cali,M,Bachelors,525473.43%,34476.0,67.0,1/1/00,Corporate Auto,Four-Door Car,5.3953
ZW84453,AZ,F,Bachelors,511623.76%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,131.401291
HO29524,Cali,M,,303464.70%,68205.0,76.0,1/0/00,Personal Auto,Two-Door Car,99.382943
VE89726,Cali,F,,802489.99%,0.0,119.0,1/1/00,Personal Auto,SUV,856.8
GE87503,Cali,M,,1821114.32%,53690.0,154.0,1/0/00,Personal Auto,SUV,739.2
PX90263,,M,,512156.33%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,518.4
NI17718,Cali,F,,215017.86%,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8
FY32213,Cali,F,,559538.99%,74454.0,71.0,1/0/00,Personal Auto,Four-Door Car,340.8
RZ13254,,F,Bachelors,756282.40%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
GN45013,,M,,538585.32%,29664.0,71.0,1/0/00,Personal Auto,Four-Door Car,340.8
NM39588,WA,F,,267805.83%,72450.0,66.0,1/0/00,Corporate Auto,Four-Door Car,84.218363
KU84464,,F,Bachelors,942256.79%,47272.0,79.0,1/3/00,Personal Auto,Four-Door Car,64.546877
YH43527,,F,,360586.03%,21585.0,92.0,1/0/00,Corporate Auto,Four-Door Car,441.6
RO30676,Cali,F,,776259.06%,23827.0,106.0,1/2/00,Personal Auto,Four-Door Car,37.910623
QL59704,AZ,F,,2344490.05%,69906.0,74.0,1/2/00,Corporate Auto,Four-Door Car,202.860399
QH19450,Cali,F,,255817.82%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6
SA54664,WA,M,,265438.10%,73196.0,66.0,1/1/00,Personal Auto,Four-Door Car,85.809817
CI38330,WA,M,Bachelors,254978.61%,72217.0,6464.0,1/0/00,Personal Auto,Four-Door Car,91.146661
WB38524,Cali,M,,296959.33%,46131.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2
CE56187,,F,,436312.46%,54514.0,109.0,1/3/00,Personal Auto,SUV,286.234931
JL19416,Cali,F,,588430.86%,0.0,161.0,1/0/00,Personal Auto,SUV,1159.2
JZ61422,,F,,527219.16%,96668.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8
LA13377,Cali,M,,550989.57%,78879.0,69.0,1/1/00,Personal Auto,Four-Door Car,466.570791
NC99948,,M,,1631368.35%,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2
QD34785,AZ,F,Bachelors,567805.02%,0.0,76.0,1/0/00,Personal Auto,Four-Door Car,364.8
RO26085,Cali,F,Bachelors,1210120.88%,0.0,112.0,1/0/00,Personal Auto,Sports Car,1252.406235
ES57969,,M,Bachelors,245357.08%,29735.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2
JK55587,Cali,M,,507566.27%,23082.0,65.0,1/0/00,Special Auto,Four-Door Car,312.0
RN97635,AZ,M,Bachelors,321497.94%,53984.0,80.0,1/0/00,Corporate Auto,Four-Door Car,421.484456
BI76326,Cali,F,,1227534.31%,52135.0,156.0,1/0/00,Personal Auto,SUV,430.505942
JA34909,Cali,F,,272221.07%,17576.0,71.0,1/0/00,Corporate Auto,Four-Door Car,398.502948
OJ90342,,F,Bachelors,245744.09%,29486.0,62.0,1/0/00,Personal Auto,Four-Door Car,7.646763
CM88932,,F,,355484.53%,58557.0,88.0,1/0/00,Corporate Auto,Four-Door Car,55.510526
JJ97525,Cali,M,Bachelors,492954.97%,25632.0,63.0,1/0/00,Personal Auto,Two-Door Car,351.270869
XV21647,Cali,F,,803645.03%,0.0,112.0,1/0/00,Personal Auto,Sports Car,806.4
MC83487,AZ,M,Bachelors,427691.53%,18768.0,68.0,1/3/00,Corporate Auto,Four-Door Car,647.454583
BL90769,Cali,F,Bachelors,3347334.95%,33190.0,106.0,1/0/00,Personal Auto,SUV,508.8
CR57148,,F,,596058.14%,47945.0,74.0,1/0/00,Personal Auto,Two-Door Car,128.43823
CP85232,AZ,M,,4479546.94%,58778.0,126.0,1/0/00,Special Auto,SUV,302.033971
YL74732,Cali,F,,383211.81%,15192.0,100.0,1/0/00,Personal Auto,SUV,480.0
FG16766,Cali,F,Bachelors,683793.26%,51859.0,171.0,1/0/00,Personal Auto,SUV,1003.160633
NV55438,,F,,528526.82%,23422.0,72.0,1/0/00,Personal Auto,Two-Door Car,518.4
RM10880,Cali,F,,309651.12%,21604.0,79.0,1/0/00,Corporate Auto,Four-Door Car,379.2
GL56175,AZ,M,,358971.07%,79298.0,90.0,1/0/00,Personal Auto,Four-Door Car,244.362072
UK52289,AZ,F,Bachelors,258240.85%,76731.0,64.0,1/0/00,Special Auto,Four-Door Car,201.455005
OT85112,WA,M,,340391.94%,38460.0,88.0,1/1/00,Personal Auto,Four-Door Car,91.55098
BC62782,AZ,F,,1357567.60%,48534.0,115.0,1/1/00,Personal Auto,SUV,552.0
TI19722,WA,M,,343613.43%,30817.0,88.0,1/0/00,Corporate Auto,Four-Door Car,91.834668
JP30654,,F,,2868582.79%,48412.0,104.0,1/0/00,Personal Auto,SUV,707.430832
UM45563,WA,M,Bachelors,450267.97%,68798.0,114.0,1/0/00,Personal Auto,SUV,92.915251
EN60878,,M,Bachelors,618311.15%,23712.0,85.0,1/0/00,Personal Auto,Four-Door Car,376.126419
JF36291,Cali,M,,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239
BK59444,Cali,F,,1892933.06%,72196.0,68.0,1/0/00,Personal Auto,Four-Door Car,152.184244
MK70700,Cali,M,,555329.58%,68197.0,69.0,1/0/00,Personal Auto,Four-Door Car,176.819414
IW71076,Cali,M,Bachelors,501125.92%,75248.0,63.0,1/0/00,Corporate Auto,Four-Door Car,104.454624
AP98768,Cali,F,,1044244.63%,0.0,98.0,1/0/00,Personal Auto,Four-Door Car,941.718054
OM24164,,M,Bachelors,219961.78%,0.0,65.0,1/1/00,Personal Auto,Two-Door Car,468.0
HR85211,WA,F,,512317.09%,89879.0,63.0,1/0/00,Personal Auto,Two-Door Car,94.030308
VC87846,,M,,748431.05%,46998.0,96.0,1/0/00,Corporate Auto,Four-Door Car,460.8
ZM92052,,M,Bachelors,261302.31%,57099.0,67.0,1/0/00,Personal Auto,Two-Door Car,67.859881
ON73702,AZ,F,Bachelors,908063.97%,33897.0,114.0,1/0/00,Corporate Auto,SUV,539.843003
QQ90441,,F,,1377097.62%,59207.0,116.0,1/0/00,Personal Auto,Four-Door Car,556.8
HU35721,,M,,287682.29%,40171.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
YP47665,WA,M,,540891.15%,80192.0,67.0,1/0/00,Personal Auto,Four-Door Car,95.193157
FU99476,WA,M,,677030.68%,74422.0,85.0,1/1/00,Personal Auto,Four-Door Car,95.338505
AG85615,,M,,2414387.56%,0.0,87.0,1/0/00,Special Auto,Four-Door Car,626.4
OY74069,AZ,F,,353805.95%,0.0,67.0,1/5/00,Personal Auto,Four-Door Car,321.6
DJ91267,,F,Bachelors,2909123.94%,34226.0,244.0,1/0/00,Personal Auto,Luxury SUV,494.395024
KB72438,Cali,F,,1983420.12%,65989.0,123.0,1/1/00,Personal Auto,SUV,115.545086
TR67616,,M,,473136.70%,30686.0,61.0,1/0/00,Corporate Auto,Four-Door Car,19.938981
GF65731,Cali,F,,3553784.60%,0.0,113.0,1/0/00,Personal Auto,Sports Car,799.926741
HB67642,AZ,F,,3461137.90%,20090.0,109.0,1/0/00,Personal Auto,Sports Car,523.2
DP84567,Cali,M,,2021630.88%,0.0,183.0,1/0/00,Personal Auto,Luxury SUV,878.4
VV77534,,M,,1397651.93%,77094.0,176.0,1/0/00,Personal Auto,SUV,444.470676
GL67540,Cali,F,,590408.82%,97413.0,73.0,1/0/00,Personal Auto,Four-Door Car,268.819985
SV50502,,F,,559583.50%,79189.0,69.0,1/0/00,Corporate Auto,Four-Door Car,331.2
UK59698,Cali,F,,229430.36%,0.0,62.0,1/0/00,Personal Auto,Two-Door Car,297.6
OA57352,AZ,F,,627391.19%,18577.0,86.0,1/0/00,Personal Auto,Four-Door Car,412.8
ZF84449,,F,,372672.80%,0.0,112.0,1/1/00,Special Auto,Sports Car,806.4
AX86150,WA,M,,265671.31%,62777.0,67.0,1/0/00,Personal Auto,Two-Door Car,101.288069
HG39060,,M,Bachelors,511068.08%,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8
EM29359,,M,,712659.65%,17483.0,183.0,1/0/00,Personal Auto,Luxury Car,1317.6
SF57173,,M,,460163.41%,84394.0,114.0,1/0/00,Personal Auto,SUV,691.412378
OT47603,,M,,915523.97%,0.0,127.0,1/0/00,Personal Auto,Sports Car,804.811859
SW31412,,F,,1480805.62%,41440.0,62.0,1/1/00,Personal Auto,Four-Door Car,297.6
JS36322,AZ,M,,890167.84%,0.0,136.0,1/1/00,Personal Auto,Sports Car,1090.86434
RE81445,,F,,573459.82%,98132.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.587035
RM24280,,F,,417769.70%,0.0,112.0,1/0/00,Personal Auto,Four-Door Car,537.6
LC25393,Cali,M,Bachelors,2777628.91%,88220.0,230.0,1/0/00,Personal Auto,Luxury Car,151.528482
UX38930,AZ,F,,1036434.75%,58327.0,129.0,1/0/00,Personal Auto,SUV,347.075948
HD95496,,M,,785190.14%,25950.0,66.0,1/0/00,Personal Auto,Two-Door Car,271.697529
RX24650,,M,,477294.38%,20993.0,133.0,1/0/00,Corporate Auto,SUV,638.4
DW19309,,M,,1422650.49%,65726.0,177.0,1/0/00,Corporate Auto,SUV,849.6
MT41386,WA,M,,287543.24%,84768.0,72.0,1/0/00,Personal Auto,Two-Door Car,110.484661
WZ40465,WA,F,Bachelors,504129.96%,36234.0,63.0,1/0/00,Personal Auto,Four-Door Car,113.534474
DB42794,Cali,M,,436293.12%,58842.0,110.0,1/0/00,Personal Auto,Four-Door Car,528.0
JB50798,,F,,962452.44%,25629.0,124.0,1/2/00,Corporate Auto,Sports Car,595.2
IP69763,WA,F,,2191440.55%,77311.0,181.0,1/0/00,Personal Auto,SUV,113.609508
TE35785,Cali,M,,694842.22%,0.0,196.0,1/2/00,Personal Auto,Luxury SUV,1337.063487
HX74855,WA,M,,247152.84%,95697.0,61.0,1/0/00,Personal Auto,Two-Door Car,114.273025
QN65180,,F,Bachelors,2190391.36%,22254.0,79.0,1/0/00,Personal Auto,Four-Door Car,125.194389
GE47180,,M,,902882.14%,65974.0,113.0,1/0/00,Personal Auto,Sports Car,235.220971
VQ38776,,F,,530375.95%,0.0,76.0,1/0/00,Personal Auto,Four-Door Car,395.34111
BH86846,WA,M,,2070825.88%,92079.0,65.0,1/1/00,Corporate Auto,Four-Door Car,114.798771
IN17648,,M,,512376.81%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,772.798511
DF95759,,M,,949234.30%,0.0,132.0,1/0/00,Personal Auto,SUV,633.6
QG45324,,F,,820486.32%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
MN61620,AZ,F,,987729.57%,67752.0,131.0,1/4/00,Personal Auto,Sports Car,168.517149
YH86390,Cali,F,Bachelors,481500.97%,25398.0,64.0,1/0/00,Corporate Auto,Four-Door Car,307.2
FY13480,Cali,M,,627701.17%,0.0,88.0,1/0/00,Personal Auto,Four-Door Car,633.6
YH61661,Cali,M,,826063.98%,33321.0,105.0,1/0/00,Special Auto,SUV,504.0
NL93182,,M,Bachelors,254945.00%,0.0,78.0,1/0/00,Corporate Auto,Four-Door Car,845.654042
LN31673,WA,,,1131808.98%,38923.0,99.0,1/2/00,Personal Auto,Four-Door Car,115.728852
WE68644,,F,Bachelors,380392.18%,20325.0,100.0,1/0/00,Personal Auto,Sports Car,668.29397
EZ30498,,M,Bachelors,863540.35%,13129.0,117.0,1/0/00,Personal Auto,SUV,700.901632
QY74517,,F,,551055.90%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,525.6
NM88660,,M,,358588.41%,49080.0,91.0,1/0/00,Corporate Auto,Four-Door Car,25.299
MZ82036,,M,,488925.28%,42536.0,63.0,1/0/00,Personal Auto,Four-Door Car,375.330097
ID20929,,M,Bachelors,275694.17%,29926.0,74.0,1/0/00,Corporate Auto,Four-Door Car,418.233667
EY50028,,M,,328954.74%,0.0,86.0,1/0/00,Corporate Auto,Two-Door Car,398.240791
TT82373,Cali,F,Bachelors,1093717.85%,21450.0,138.0,1/0/00,Personal Auto,Sports Car,938.513425
OH64088,Cali,M,,737556.79%,33345.0,65.0,1/0/00,Corporate Auto,Four-Door Car,338.619869
SK97780,Cali,F,Bachelors,1011077.82%,15752.0,90.0,1/0/00,Corporate Auto,Two-Door Car,339.344531
IO33050,,F,,511941.43%,40169.0,65.0,1/1/00,Personal Auto,Four-Door Car,302.818833
XA55917,Cali,F,,853383.20%,26049.0,113.0,1/1/00,Personal Auto,SUV,619.165344
JK32620,,M,,222476.80%,0.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4
RQ19236,AZ,M,,804280.38%,55411.0,100.0,1/0/00,Personal Auto,Sports Car,259.561195
QC47433,,M,,255443.71%,12459.0,70.0,1/0/00,Personal Auto,Four-Door Car,336.0
RA93608,,M,Bachelors,1807394.00%,64620.0,76.0,1/1/00,Personal Auto,Two-Door Car,364.8
XH97711,Cali,M,Bachelors,243050.66%,83140.0,61.0,1/0/00,Corporate Auto,Four-Door Car,179.161843
AU96286,,F,Bachelors,316765.84%,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,662.4
KC17170,AZ,F,Bachelors,546560.40%,54422.0,68.0,1/0/00,Corporate Auto,Four-Door Car,75.501852
ZN47335,Cali,M,,1035751.42%,68309.0,131.0,1/0/00,Corporate Auto,SUV,306.983596
EI46264,Cali,M,,253781.39%,56621.0,65.0,1/2/00,Personal Auto,Four-Door Car,84.026848
EK87864,AZ,F,,282194.72%,38977.0,70.0,1/0/00,Special Auto,Four-Door Car,139.489926
GV45403,,M,Bachelors,775712.81%,0.0,111.0,1/0/00,Corporate Auto,Two-Door Car,607.4459
QK31192,,M,,407913.27%,0.0,114.0,1/0/00,Corporate Auto,Two-Door Car,631.124372
LU89008,,F,,595554.46%,0.0,83.0,1/0/00,Personal Auto,Four-Door Car,628.023494
NS10490,,F,Bachelors,1415861.36%,83235.0,70.0,1/0/00,Personal Auto,Two-Door Car,336.0
KL98495,,M,,848723.80%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,426.655599
IU96845,,M,,628547.69%,32390.0,80.0,1/0/00,Personal Auto,Four-Door Car,91.417923
QL93655,,F,,1147348.15%,66538.0,95.0,1/0/00,Personal Auto,Two-Door Car,317.844812
PF40592,WA,F,,494263.06%,23285.0,65.0,1/0/00,Personal Auto,Two-Door Car,118.446235
LZ34046,,M,Bachelors,2359468.02%,76358.0,66.0,1/0/00,Personal Auto,Four-Door Car,86.461582
JC80093,WA,M,,257250.66%,21104.0,66.0,1/0/00,Personal Auto,Four-Door Car,118.454974
YE88490,,F,,538089.86%,55350.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
YC80498,Cali,F,,477055.09%,12964.0,65.0,1/0/00,Personal Auto,Two-Door Car,362.774545
AI85843,,F,,675665.14%,33288.0,86.0,1/2/00,Personal Auto,Four-Door Car,221.856184
XD66024,,F,,593601.18%,0.0,84.0,1/0/00,Personal Auto,Four-Door Car,980.169081
FY51713,,F,Bachelors,357076.05%,56168.0,88.0,1/0/00,Personal Auto,Four-Door Car,614.675906
PH26378,Cali,M,,601996.05%,0.0,92.0,1/0/00,Personal Auto,Four-Door Car,662.4
WQ18638,,M,,542686.40%,23105.0,69.0,1/0/00,Personal Auto,Two-Door Car,331.2
KY14688,,F,,273031.38%,36218.0,68.0,1/0/00,Personal Auto,Four-Door Car,145.252168
TC97762,Cali,F,,498268.14%,52275.0,62.0,1/0/00,Corporate Auto,Four-Door Car,374.240783
QC87108,,F,,876926.68%,49665.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2
CX12134,,M,,422061.35%,32471.0,110.0,1/0/00,Personal Auto,Two-Door Car,528.0
SM73248,,M,,1153750.51%,0.0,86.0,1/1/00,Corporate Auto,Two-Door Car,619.2
CK19789,Cali,F,,588718.20%,62773.0,73.0,1/0/00,Personal Auto,Four-Door Car,80.669257
UV12583,Cali,F,,470058.38%,76694.0,117.0,1/0/00,Personal Auto,SUV,561.6
JC11405,,M,,1096395.72%,55687.0,276.0,1/0/00,Personal Auto,Luxury SUV,1324.8
KA89683,,F,,252317.12%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,504.0
BG85305,,M,,375780.47%,36633.0,96.0,1/1/00,Personal Auto,Four-Door Car,460.8
UQ87917,,M,,1294173.35%,77060.0,106.0,1/0/00,Personal Auto,SUV,468.566133
XN11823,,F,Bachelors,376446.51%,92600.0,94.0,1/0/00,Corporate Auto,Two-Door Car,842.43785
OS46571,Cali,M,,688955.70%,0.0,66.0,1/0/00,Personal Auto,Four-Door Car,475.2
PX17116,,M,,362345.42%,0.0,111.0,1/2/00,Corporate Auto,SUV,1171.93117
RP19541,,M,,758211.38%,64801.0,64.0,1/0/00,Personal Auto,Four-Door Car,268.471802
ZR25747,,F,,827774.56%,45257.0,103.0,1/0/00,Corporate Auto,Two-Door Car,494.4
NQ86532,Cali,M,,257645.56%,26854.0,66.0,1/0/00,Personal Auto,Four-Door Car,475.2
JY27336,,F,,820538.79%,85840.0,102.0,1/2/00,Corporate Auto,SUV,138.722385
PB54378,,F,,1958246.89%,26463.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6
SV38190,,F,Bachelors,648152.66%,30689.0,81.0,1/0/00,Personal Auto,Four-Door Car,467.24802
CV24005,,M,,259931.09%,29590.0,66.0,1/0/00,Corporate Auto,Two-Door Car,467.503236
EX28656,,F,,983033.76%,25965.0,253.0,1/0/00,Personal Auto,Luxury SUV,1214.4
CF57022,,M,Bachelors,1044265.14%,17269.0,139.0,1/0/00,Personal Auto,SUV,667.2
GM16780,,M,,3605753.70%,90330.0,137.0,1/3/00,Corporate Auto,Sports Car,192.085299
BX94438,Cali,F,,847003.68%,0.0,113.0,1/0/00,Corporate Auto,SUV,619.973889
RM41745,Cali,F,,827878.65%,0.0,110.0,1/0/00,Personal Auto,Four-Door Car,1002.782553
XR70252,Cali,F,,478893.26%,0.0,67.0,1/1/00,Personal Auto,Two-Door Car,321.6
YH92099,,F,Bachelors,308799.99%,18558.0,80.0,1/0/00,Special Auto,Four-Door Car,384.0
SG81493,AZ,M,Bachelors,444373.62%,46384.0,113.0,1/0/00,Corporate Auto,Four-Door Car,251.774574
ZX23819,,F,,798408.65%,0.0,72.0,1/0/00,Personal Auto,Two-Door Car,866.208321
FJ54907,,F,,718097.10%,42303.0,180.0,1/0/00,Personal Auto,Luxury SUV,1210.920949
CU26127,Cali,F,Bachelors,1565603.43%,71731.0,130.0,1/0/00,Corporate Auto,SUV,599.648466
YH60476,,M,,578018.22%,51066.0,74.0,1/0/00,Corporate Auto,Four-Door Car,787.993313
ZZ97035,Cali,M,,2071494.04%,0.0,203.0,1/0/00,Corporate Auto,Luxury Car,2027.724442
GE82737,,F,Bachelors,533735.24%,0.0,86.0,1/3/00,Personal Auto,Four-Door Car,619.2
KY21873,AZ,M,,505082.62%,0.0,69.0,1/0/00,Personal Auto,Two-Door Car,72.852047
UA51318,AZ,F,,511662.40%,26173.0,68.0,1/1/00,Corporate Auto,Four-Door Car,449.819671
BV55014,,M,Bachelors,726873.70%,24445.0,63.0,1/0/00,Personal Auto,Two-Door Car,302.4
HX21307,,M,,261661.39%,72302.0,66.0,1/0/00,Personal Auto,Two-Door Car,316.8
LQ68252,,M,,373843.62%,27208.0,102.0,1/0/00,Personal Auto,SUV,489.6
CR92802,Cali,F,,272535.64%,36650.0,69.0,1/1/00,Special Auto,Four-Door Car,56.60333
SL35268,AZ,M,,545386.12%,30855.0,68.0,1/0/00,Corporate Auto,Four-Door Car,259.060862
RD62882,AZ,F,Bachelors,684615.03%,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0
JS42382,,M,,617291.42%,99960.0,76.0,1/0/00,Corporate Auto,Four-Door Car,364.8
BT30554,AZ,F,Bachelors,1034632.45%,0.0,98.0,1/0/00,Personal Auto,Four-Door Car,470.4
VP57424,,F,Bachelors,699700.86%,55873.0,88.0,1/0/00,Personal Auto,Four-Door Car,299.356083
VU19243,AZ,F,,419625.77%,18052.0,111.0,1/0/00,Personal Auto,Four-Door Car,699.1679
